dataset,feature,pearson_mean_abs,pearson_max_abs,spearman_mean_abs,spearman_max_abs,rf_importance_raw,rf_importance_norm,redundancy_mean_abs,redundancy_max_abs,high_redundancy,spearman_pearson_gap,possible_nonlinear_relation,correlation_strength,physical_score,redundancy_penalty,dp_fsm_score,feature_level,selection_decision,rank
chf,L (m),0.5531632351488186,0.5531632351488186,0.7011487711278035,0.7011487711278035,0.358630736269348,1.0,0.19064452250596492,0.32891626647116634,False,0.1479855359789849,False,0.627156003138311,0.5,0.19064452250596492,0.6190823486908968,candidate,keep_candidate,1
chf,Xe (-),0.5229593290245872,0.5229593290245872,0.5398035856574195,0.5398035856574195,0.2872706034726825,0.8010205886450548,0.33224790844838886,0.6185814998076784,False,0.01684425663283229,False,0.5313814573410034,0.5,0.33224790844838886,0.5164958229509785,candidate,keep_candidate,2
chf,G (kg m-2s-1),0.3737436064374462,0.3737436064374462,0.4071159343225495,0.4071159343225495,0.12907265225607656,0.3599040439164621,0.29457690165943007,0.6185814998076784,False,0.0333723278851033,False,0.3904297703799978,0.5,0.29457690165943007,0.34564245412299494,low_priority,optional_drop_or_compare,3
chf,P (kPa),0.25810341981951934,0.25810341981951934,0.274580680860909,0.274580680860909,0.11541527315268417,0.3218220344226214,0.3417951264909739,0.6043480067704539,False,0.016477261041389635,False,0.2663420503402142,0.5,0.3417951264909739,0.2922697127797533,low_priority,optional_drop_or_compare,4
chf,Tin (C),0.31559102959743696,0.31559102959743696,0.3141567509370802,0.3141567509370802,0.0863077115541998,0.2406589921767854,0.3174073849785543,0.6043480067704539,False,0.0014342786603567803,False,0.31487389026725854,0.5,0.3174073849785543,0.28491912623535776,low_priority,optional_drop_or_compare,5
chf,D (m),0.10779261533171515,0.10779261533171515,0.08329212315073972,0.08329212315073972,0.023303023295008968,0.0649777638621229,0.12257403619886582,0.2659007650777313,False,0.024500492180975428,False,0.09554236924122744,0.5,0.12257403619886582,0.18589863631111853,low_priority,optional_drop_or_compare,6
heat,qprime,0.8660290787130248,0.8660290787130248,0.8797171837171838,0.8797171837171838,0.8295076927759277,1.0,0.025404490091433238,0.07403627256005978,False,0.013688105004158957,False,0.8728731312151043,1.0,0.025404490091433238,0.859321490355388,core,keep_core,1
heat,k,0.2855553077887852,0.2855553077887852,0.4034469554469554,0.4034469554469554,0.08367294564625155,0.10087060840417529,0.017404527801172284,0.03522641387014045,False,0.11789164765817023,False,0.3445011316178703,1.0,0.017404527801172284,0.43187106922649643,low_priority,optional_drop_or_compare,2
heat,L,0.06498413500891381,0.06498413500891381,0.08844390444390444,0.08844390444390444,0.02305290293923937,0.027791065881611513,0.023341404108353517,0.03299181120196454,False,0.023459769434990632,False,0.07671401972640912,1.0,0.023341404108353517,0.3290173852715708,low_priority,optional_drop_or_compare,3
heat,mdot,0.05313319562263896,0.05313319562263896,0.08001774801774802,0.08001774801774802,0.018348786347674506,0.02212009184178959,0.014363850062343066,0.03228533279090867,False,0.026884552395109063,False,0.0665754718201935,1.0,0.014363850062343066,0.3251722840923606,low_priority,optional_drop_or_compare,4
heat,Tin,0.06293195788732621,0.06293195788732621,0.060823176823176825,0.060823176823176825,0.01583633559998646,0.01909124621495738,0.030768321976466086,0.07403627256005978,False,0.0021087810641493843,False,0.06187756735525152,1.0,0.030768321976466086,0.3212138118734161,low_priority,optional_drop_or_compare,5
heat,R,0.015222531736251304,0.015222531736251304,0.012266400266400267,0.012266400266400267,0.014781296000894553,0.01781935975955726,0.01960303669670805,0.04811065339676589,False,0.0029561314698510373,False,0.013744466001325785,1.0,0.01960303669670805,0.3075088440585941,low_priority,optional_drop_or_compare,6
heat,Cp,0.0004763721470739576,0.0004763721470739576,0.01599012399012399,0.01599012399012399,0.014800040690025967,0.017841957125795886,0.032339245448729105,0.03757316974254654,False,0.015513751843050034,False,0.008233248068598974,1.0,0.032339245448729105,0.3045886370134455,low_priority,optional_drop_or_compare,7
xs,FissionThermal,0.6787740360063393,0.6787740360063393,0.6778349391546452,0.6778349391546452,0.3850876649922078,1.0,0.11339534537624128,0.23205620274951466,False,0.0009390968516941323,False,0.6783044875804922,1.0,0.11339534537624128,0.7921518117365236,core,keep_core,1
xs,CaptureFast,0.5443132726496555,0.5443132726496555,0.5307780376943998,0.5307780376943998,0.18846920096018027,0.48941895078356745,0.37613673965135197,0.7650940813518246,False,0.01353523495525566,False,0.5375456551720277,1.0,0.37613673965135197,0.5704757078215434,candidate,keep_candidate,2
xs,FissionFast,0.557535756843781,0.557535756843781,0.5553785486901102,0.5553785486901102,0.16419527290507802,0.4263841401110588,0.3034668690383664,0.6707664238750103,False,0.00215720815367082,False,0.5564571527669455,1.0,0.3034668690383664,0.5645057009595646,candidate,keep_candidate,3
xs,CaptureThermal,0.3176857643947431,0.3176857643947431,0.2931214266769276,0.2931214266769276,0.10929434083052397,0.28381677931110966,0.13012274040568053,0.337126331511068,False,0.02456433771781552,False,0.30540359553583535,1.0,0.13012274040568053,0.4637538384135155,candidate,keep_candidate,4
xs,Scatter11,0.27460040200772035,0.27460040200772035,0.27154228771751177,0.27154228771751177,0.04619444423615997,0.11995825479659211,0.4601557865089877,0.9126836707104901,True,0.00305811429020858,False,0.2730713448626161,1.0,0.4601557865089877,0.37189330124686365,low_priority,optional_drop_or_compare,5
xs,Scatter12,0.23674412194389743,0.23674412194389743,0.23806431019909774,0.23806431019909774,0.04636098788446766,0.12039073722448566,0.3827759375353842,0.9126836707104901,True,0.0013201882552003052,False,0.2374042160714976,1.0,0.3827759375353842,0.3690608922352565,low_priority,optional_drop_or_compare,6
xs,Scatter21,0.10952151254751943,0.10952151254751943,0.11733454832727591,0.11733454832727591,0.031180944825482608,0.08097102987215535,0.2692815964249283,0.7713426756860324,False,0.007813035779756478,False,0.11342803043739767,1.0,0.2692815964249283,0.33139155845037305,low_priority,optional_drop_or_compare,7
xs,Scatter22,0.0566195894266744,0.0566195894266744,0.0475591605749137,0.0475591605749137,0.029217143365899752,0.07587140805066026,0.22214303246976128,0.7713426756860324,False,0.009060428851760699,False,0.05208937500079405,1.0,0.22214303246976128,0.31617393166846014,low_priority,optional_drop_or_compare,8
bwr,CRD,0.77620342559914,0.9213257716272801,0.8510831862900303,0.9905164319852853,0.8875705253527096,1.0,0.02077691700024649,0.04195549607386478,False,0.0748797606908903,False,0.8136433059445851,0.5,0.02077691700024649,0.6920153000833508,core,keep_core,1
bwr,DOM,0.046722695608477034,0.08688474801839477,0.12024729353109338,0.4025262633309785,0.013739385484222754,0.015479767626085703,0.14416527982088856,0.9999999999999977,True,0.07352459792261634,False,0.08348499456978521,0.5,0.14416527982088856,0.16527290067667239,low_priority,optional_drop_or_compare,2
bwr,PSZ,0.04672269560847706,0.08688474801839478,0.12024729353109338,0.4025262633309785,0.013123114839078987,0.014785433342171904,0.1441652798208887,0.9999999999999977,True,0.07352459792261631,False,0.08348499456978523,0.5,0.1441652798208887,0.16506460039149826,low_priority,optional_drop_or_compare,3
bwr,power_density,0.021187990020009442,0.043438180490316024,0.026784421961408678,0.09945479793004577,0.015588905619997458,0.017563568386639042,0.03213931059038092,0.05300697464358604,False,0.005596431941399235,False,0.02398620599070906,0.5,0.03213931059038092,0.15925100125416633,low_priority,optional_drop_or_compare,4
bwr,subcool,0.008075376189982416,0.01398033734996711,0.02584525023891156,0.05113756180044052,0.01526731422601585,0.017201240678816825,0.02227191458446047,0.05300697464358604,False,0.017769874048929143,False,0.01696031321444699,0.5,0.02227191458446047,0.1580212747095331,low_priority,optional_drop_or_compare,5
bwr,flow_rate,0.011762053619987039,0.02684391409664751,0.016485009153570356,0.030337014229181242,0.014317725078836075,0.01613136609414377,0.02202479655156377,0.041909884334367375,False,0.004722955533583317,False,0.014123531386778698,0.5,0.02202479655156377,0.15687398958912036,low_priority,optional_drop_or_compare,6
bwr,VFNGAP,0.0035421011725377443,0.004666589810244353,0.009913556726010814,0.01905222608571568,0.012499352759763287,0.01408265867638653,0.010465024768129834,0.016636836050692265,False,0.00637145555347307,False,0.006727828949274279,0.5,0.010465024768129834,0.15519664381088524,low_priority,optional_drop_or_compare,7
bwr,vanA,0.0221581345299132,0.03558789820718031,0.016434645826386804,0.03887195900724393,0.014447301882190922,0.016277356524936136,0.1396860049091227,1.0000000000000002,True,0.005723488703526396,False,0.019296390178150002,0.5,0.1396860049091227,0.14670352352001356,low_priority,optional_drop_or_compare,8
bwr,vanB,0.022158134529913203,0.03558789820718031,0.016434645826386804,0.03887195900724393,0.013446374757185117,0.015149640927791842,0.1396860049091227,1.0000000000000002,True,0.005723488703526399,False,0.019296390178150005,0.5,0.1396860049091227,0.14636520884087026,low_priority,optional_drop_or_compare,9
fp,ax_pow,0.5592478733284502,0.7580644503091057,0.5297389229817104,0.7227642670934626,0.386992238076043,1.0,0.03326625529013592,0.08542250883379189,False,0.029508950346739726,False,0.5444933981550804,0.5,0.03326625529013592,0.6100213939175104,candidate,keep_candidate,1
fp,clad_T,0.42589305568936353,0.810443785121335,0.42255432540888704,0.8016136198920761,0.12618750498691217,0.3260724442801787,0.05192510835842945,0.1432361702292343,False,0.0033387302804764873,False,0.4242236905491253,0.5,0.05192510835842945,0.36989632961294827,low_priority,optional_drop_or_compare,2
fp,porosity,0.22871135528087277,0.48389549353427797,0.2184398004288901,0.4669109838530108,0.18732641633794478,0.48405729600482483,0.03180441842880197,0.07890216370751502,False,0.010271554851982667,False,0.22357557785488144,0.5,0.03180441842880197,0.3591094203150316,low_priority,optional_drop_or_compare,3
fp,pellet_h,0.29894331456858625,0.8954128389929719,0.28536731328404674,0.8889077587082823,0.031051473190678927,0.08023797413884408,0.04421438827261953,0.09137549041832367,False,0.013576001284539507,False,0.2921553139263165,0.5,0.04421438827261953,0.25729654759228615,low_priority,optional_drop_or_compare,4
fp,rough_fuel,0.22492115121570866,0.44699859752137244,0.19832782189368103,0.4110404892606806,0.05315592857965609,0.13735657553217148,0.035038903469816744,0.0867778784280431,False,0.026593329322027626,False,0.21162448655469485,0.5,0.035038903469816744,0.2511904282790782,low_priority,optional_drop_or_compare,5
fp,inlet_T,0.06907709819263147,0.09754424983423501,0.088417859048247,0.11211683620212366,0.029063342691902107,0.07510058298944806,0.040791016951947666,0.11262900210396624,False,0.019340760855615535,False,0.07874747862043924,0.5,0.040791016951947666,0.19207531678777143,low_priority,optional_drop_or_compare,6
fp,clad_thick,0.05413292436055076,0.07233500257760572,0.05688370555663087,0.07453866561323376,0.03114187262277665,0.08047156908779486,0.036956089294950416,0.08170010038049137,False,0.0027507811960801112,False,0.05550831495859082,0.5,0.036956089294950416,0.18709835628442065,low_priority,optional_drop_or_compare,7
fp,pressure,0.039974730769133604,0.09171430409573414,0.052083683276916704,0.10325637832333533,0.034022572285085394,0.08791538676390726,0.042118388764042856,0.07777600028488008,False,0.0121089525077831,False,0.046029207023025154,0.5,0.042118388764042856,0.18597153925967544,low_priority,optional_drop_or_compare,8
fp,gap_thick,0.10624514089650716,0.18048356876075677,0.09935551662653308,0.16563530275624924,0.01187589537602173,0.030687683647257408,0.04342787173702187,0.11299706220958973,False,0.006889624269974082,False,0.10280032876152012,0.5,0.04342787173702187,0.18570361654893108,low_priority,optional_drop_or_compare,9
fp,fuel_dens,0.027290787096865478,0.039526790362994856,0.04684150826311424,0.07537767177433492,0.027811964294903645,0.07186698222468912,0.04912106032267541,0.0867778784280431,False,0.019550721166248765,False,0.037066147679989864,0.5,0.04912106032267541,0.17776783293913614,low_priority,optional_drop_or_compare,10
fp,pellet_OD,0.0326978359381803,0.04449298111247375,0.024282504455935272,0.035313960776053734,0.029109088479933865,0.07521879153094023,0.04599760790529301,0.11299706220958973,False,0.008415331482245027,False,0.028490170197057785,0.5,0.04599760790529301,0.1765129277278701,low_priority,optional_drop_or_compare,11
fp,rough_clad,0.03084352537885658,0.05148780747640191,0.037565702785482734,0.06316727145058813,0.02440889939133833,0.06307335649078843,0.029743144037197092,0.1432361702292343,False,0.006722177406626152,False,0.034204614082169654,0.5,0.029743144037197092,0.17620907676816772,low_priority,optional_drop_or_compare,12
fp,enrich,0.006316769277011904,0.008742385966178032,0.01382931441812876,0.02877813856758315,0.027852803686803415,0.0719725124857166,0.04019098193768699,0.10097657022935347,False,0.007512545141116856,False,0.010073041847570331,0.5,0.04019098193768699,0.17059456810621737,low_priority,optional_drop_or_compare,13
rea,rod_worth,0.6966497904930119,0.7817901420033477,0.7761659254704429,0.8045372001742628,0.5264661266533968,1.0,0.011173127243747291,0.013970459261226097,False,0.07951613497743104,False,0.7364078579817275,0.5,0.011173127243747291,0.6698050446701435,core,keep_core,1
rea,beta,0.5825713429845895,0.6213079476217059,0.5867237993316547,0.6280058451970074,0.4453382827949147,0.8459011135736503,0.005728997278899295,0.012723579870915156,False,0.004152456347065292,False,0.584647571158122,0.5,0.005728997278899295,0.5785917056916419,candidate,keep_candidate,2
rea,h_gap,0.06258626084625556,0.1125083461256555,0.05763825202165278,0.1182357054342773,0.013024654385419266,0.024739776646625838,0.014289510130213822,0.033193075892567765,False,0.004948008824602779,False,0.06011225643395417,0.5,0.014289510130213822,0.17402665891115263,low_priority,optional_drop_or_compare,3
rea,gamma_frac,0.017315112146555418,0.04050381697975444,0.019043223962159347,0.03481742472091855,0.015170936166269229,0.02881654753878807,0.016258945073534502,0.033193075892567765,False,0.001728111815603929,False,0.018179168054357382,0.5,0.016258945073534502,0.16247282017059017,low_priority,optional_drop_or_compare,4
powery,CR4,0.3342688442459986,0.9368555864576507,0.3295927774492488,0.9385849465849468,0.18838695065372504,1.0,0.029962213319622462,0.06624565884616714,False,0.0046760667967498115,False,0.3319308108476237,0.5,0.029962213319622462,0.5465830219223249,candidate,keep_candidate,1
powery,CR3,0.3453894428205183,0.9304045056801045,0.33725946952499014,0.9362501762501763,0.1821502307746702,0.9668940982514305,0.02624619106919099,0.05296560288424837,False,0.00812997329552817,False,0.3413244561727542,0.5,0.02624619106919099,0.5398409472203363,candidate,keep_candidate,2
powery,CR2,0.3356657242157531,0.9175869176349156,0.32893726865382855,0.9211380451380452,0.18138333986503152,0.9628232700598944,0.03137347198262743,0.06624565884616714,False,0.006728455561924529,False,0.3323014964347908,0.5,0.03137347198262743,0.5354000827501427,candidate,keep_candidate,3
powery,CR5,0.3255931869492622,0.9127975256633507,0.3182894902204606,0.9168736488736489,0.1588365131460567,0.843139679234019,0.019232055845454905,0.04676797339220974,False,0.007303696728801601,False,0.3219413385848614,0.5,0.019232055845454905,0.49760109976111866,candidate,keep_candidate,4
powery,CR1,0.3197103668064753,0.9129332086484012,0.3124157914487478,0.9169698529698531,0.1586782431931273,0.8422995469829252,0.025610256671200482,0.05296560288424837,False,0.007294575357727484,False,0.31606307912761156,0.5,0.025610256671200482,0.49494776216604097,candidate,keep_candidate,5
powery,CR6,0.2969947045492661,0.9192366484377718,0.29055723149605234,0.9232515472515475,0.13056472236738936,0.6930667008214438,0.01870267502200331,0.033424488406265794,False,0.006437473053213738,False,0.2937759680226592,0.5,0.01870267502200331,0.4441825331510306,low_priority,optional_drop_or_compare,6
htgr,theta1,0.03338052694982033,0.06676105389964068,0.02667604144518095,0.05858386228932284,0.13923885332946376,1.0,0.026858818522491466,0.04683973345211064,False,0.0067044855046393785,True,0.030028284197500636,0.5,0.026858818522491466,0.45632260340700104,candidate,keep_candidate,1
htgr,theta8,0.03338052694982033,0.06676105389964067,0.02667604144518095,0.05858386228932284,0.1370974424117089,0.9846205935588402,0.026858818522491494,0.04683973345211094,False,0.0067044855046393785,True,0.030028284197500636,0.5,0.026858818522491494,0.4517087814746531,candidate,keep_candidate,2
htgr,theta5,0.03338052694982031,0.06676105389964065,0.02667604144518095,0.05858386228932284,0.1370746157066657,0.9844566543673189,0.026858818522491425,0.046839733452110684,False,0.006704485504639365,True,0.03002828419750063,0.5,0.026858818522491425,0.4516595997171967,candidate,keep_candidate,3
htgr,theta4,0.03338052694982034,0.06676105389964074,0.026676041445180945,0.05858386228932284,0.13573142640163516,0.9748099984741371,0.026858818522491442,0.04683973345211081,False,0.006704485504639396,True,0.030028284197500643,0.5,0.026858818522491442,0.44876560294924217,low_priority,optional_drop_or_compare,4
htgr,theta2,0.012899005351130194,0.025798010702260246,0.014635723407854654,0.024591609827745206,0.11424096776275657,0.8204675996034112,0.027616679175720242,0.04683973345211081,False,0.0017367180567244601,True,0.013767364379492424,0.5,0.027616679175720242,0.39750882127729903,low_priority,optional_drop_or_compare,5
htgr,theta3,0.012899005351130203,0.025798010702260288,0.014635723407854654,0.024591609827745206,0.11400944131901303,0.8188047990401538,0.027616679175720256,0.04683973345211064,False,0.0017367180567244515,True,0.013767364379492428,0.5,0.027616679175720256,0.3970099811083218,low_priority,optional_drop_or_compare,6
htgr,theta7,0.0128990053511302,0.025798010702260277,0.014635723407854654,0.024591609827745206,0.1118784717718503,0.8035003815143898,0.027616679175720228,0.046839733452110684,False,0.001736718056724455,True,0.013767364379492428,0.5,0.027616679175720228,0.39241865585059266,low_priority,optional_drop_or_compare,7
htgr,theta6,0.012899005351130196,0.025798010702260274,0.014635723407854654,0.024591609827745206,0.11072878129690664,0.7952434155350501,0.027616679175720273,0.04683973345211094,False,0.0017367180567244584,True,0.013767364379492424,0.5,0.027616679175720273,0.38994156605679064,low_priority,optional_drop_or_compare,8
microreactor,theta6,0.20081170335094017,0.3611168329168212,0.19967650422775324,0.3598628132867577,0.15167176852106368,1.0,0.01859342388261449,0.037646126482885164,False,0.0011351991231869363,True,0.2002441037893467,0.5,0.01859342388261449,0.5082138887485426,candidate,keep_candidate,1
microreactor,theta4,0.12124097234174516,0.1759497890280447,0.12410074489456223,0.17618923945918596,0.1438176467239777,0.9482163234880774,0.02002473075394959,0.057375069557432726,False,0.0028597725528170664,True,0.12267085861815369,0.5,0.02002473075394959,0.4692636815564743,candidate,keep_candidate,2
microreactor,theta7,0.18222333633710955,0.3169856498697361,0.1820402000750443,0.30973158741376455,0.12538023179742985,0.8266550394974623,0.02741412922152497,0.07046016827765328,False,0.0001831362620652588,True,0.1821317682060769,0.5,0.02741412922152497,0.4498946293889093,low_priority,optional_drop_or_compare,3
microreactor,theta3,0.1478929866983596,0.26730274625389006,0.15084021225040467,0.2722437639001329,0.12656761793294444,0.834483695727245,0.03239793167648987,0.08938736776436157,False,0.002947225552045074,True,0.14936659947438213,0.5,0.03239793167648987,0.44191529539283914,low_priority,optional_drop_or_compare,4
microreactor,theta1,0.11838035306044074,0.19921313846170574,0.11119144553371,0.182940265897132,0.11634409447514459,0.7670781161820969,0.029907931471671638,0.0703293019209037,False,0.007188907526730737,True,0.11478589929707537,0.5,0.029907931471671638,0.41156841149658446,low_priority,optional_drop_or_compare,5
microreactor,theta5,0.08450748877899115,0.1576326927630975,0.08118409132883098,0.16837177591255562,0.11911127884445832,0.7853226741265072,0.0213868105009753,0.057375069557432726,False,0.0033233974501601787,True,0.08284579005391107,0.5,0.0213868105009753,0.40831185820402793,low_priority,optional_drop_or_compare,6
microreactor,theta2,0.1370945701282575,0.3053443578224732,0.12642424355812545,0.28299387545085786,0.10953150004837506,0.7221614221051539,0.026460706292634018,0.07046016827765328,False,0.010670326570132033,True,0.13175940684319148,0.5,0.026460706292634018,0.4035301780552402,low_priority,optional_drop_or_compare,7
microreactor,theta8,0.07871463424723846,0.1265840419366766,0.07223563529146343,0.11751137888901927,0.10757586165660638,0.7092675367708038,0.0354590091909084,0.08938736776436157,False,0.006478998955775028,True,0.07547513476935094,0.5,0.0354590091909084,0.3818769005429556,low_priority,optional_drop_or_compare,8
